2023-11-22 21:15:39.232 [info] Log level: Info
2023-11-22 21:15:39.232 [info] Validating found git in: "git"
2023-11-22 21:15:39.232 [info] Using git "2.42.1" from "git"
2023-11-22 21:15:39.232 [info] > git rev-parse --show-toplevel [15ms]
2023-11-22 21:15:39.233 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 21:15:39.251 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 21:15:41.744 [info] > git rev-parse --show-toplevel [307ms]
2023-11-22 21:15:42.523 [info] > git rev-parse --show-toplevel [40ms]
2023-11-22 21:44:48.522 [info] > git rev-parse --show-toplevel [15ms]
2023-11-22 21:49:33.474 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 21:57:55.371 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 21:57:58.634 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 21:58:00.268 [info] > git rev-parse --show-toplevel [3ms]
2023-11-22 21:58:00.790 [info] > git rev-parse --show-toplevel [3ms]
2023-11-22 22:01:52.843 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:01:56.495 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:02:00.684 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:02:03.403 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:02:07.925 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:02:11.246 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:02:18.989 [info] > git rev-parse --show-toplevel [3ms]
2023-11-22 22:04:43.270 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:04:49.862 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:04:59.422 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:05:32.328 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:05:41.480 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:05:43.614 [info] > git rev-parse --show-toplevel [6ms]
2023-11-22 22:05:57.361 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:06:49.559 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:06:54.406 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:06:58.952 [info] > git rev-parse --show-toplevel [1ms]
2023-11-22 22:07:03.775 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:07:50.099 [info] > git rev-parse --show-toplevel [55ms]
2023-11-22 22:07:54.131 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:07:59.951 [info] > git rev-parse --show-toplevel [2ms]
2023-11-22 22:09:11.567 [info] > git rev-parse --show-toplevel [2ms]
