2026-01-05 21:07:35.346 [info] Starting Python Locator /home/van/.vscode/extensions/ms-python.python-2025.20.1-linux-x64/python-env-tools/bin/pet server
2026-01-05 21:07:35.505 [info] Discovered env: /bin/python
2026-01-05 21:07:35.511 [info] Discovered env: /usr/bin/python
2026-01-05 21:07:35.513 [info] Env ("/usr/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.513 [info] Discovered env: /usr/sbin/python
2026-01-05 21:07:35.516 [info] Env ("/sbin/python") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.516 [info] Discovered env: /sbin/python
2026-01-05 21:07:35.518 [info] Env ("/usr/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.518 [info] Env ("/sbin/python3") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.518 [info] Discovered env: /usr/sbin/python3
2026-01-05 21:07:35.523 [info] Discovered env: /sbin/python3
2026-01-05 21:07:35.526 [info] Env ("/usr/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/usr/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/usr/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.526 [info] Discovered env: /usr/sbin/python3.13
2026-01-05 21:07:35.528 [info] Env ("/sbin/python3.13") in Path resolved as ResolvedPythonEnv { executable: "/sbin/python3.13", prefix: "/usr", version: "3.13.7.final.0", is64_bit: true, symlinks: Some(["/sbin/python3.13"]) } and reported as Some(GlobalPaths)
2026-01-05 21:07:35.528 [info] Discovered env: /sbin/python3.13
2026-01-05 21:07:35.531 [info] Resolved Python Environment /bin/python
2026-01-05 21:07:35.568 [info] Locator Conda took 85.18775ms
2026-01-05 21:07:35.569 [info] Locator Homebrew took 280.574µs
2026-01-05 21:07:35.570 [info] Locator LinuxGlobal took 84.470933ms
2026-01-05 21:07:35.570 [info] Locator PipEnv took 57.427µs
2026-01-05 21:07:35.570 [info] Locator Pixi took 9.642µs
2026-01-05 21:07:35.571 [info] Locator Poetry took 237.563µs
2026-01-05 21:07:35.571 [info] Locator PyEnv took 140.176µs
2026-01-05 21:07:35.571 [info] Locator Uv took 31.733µs
2026-01-05 21:07:35.571 [info] Locator Venv took 86.888µs
2026-01-05 21:07:35.571 [info] Locator VirtualEnv took 64.412µs
2026-01-05 21:07:35.571 [info] Locator VirtualEnvWrapper took 21.659µs
2026-01-05 21:07:35.571 [info] Locator GlobalVirtualEnvs took 87.092µs
2026-01-05 21:07:35.571 [info] Locator Locators took 85.968168ms
2026-01-05 21:07:35.571 [info] Locator Path took 169.660744ms
2026-01-05 21:07:35.571 [info] Locator Workspaces took 2.753411ms
2026-01-05 21:07:35.571 [info] Refresh completed in 169ms
2026-01-05 21:09:08.969 [info] Resolved Python Environment /bin/python
2026-01-05 21:15:06.288 [info] Resolved Python Environment /bin/python
2026-01-05 21:16:42.999 [info] Resolved Python Environment /bin/python
2026-01-05 21:24:38.515 [info] Resolved Python Environment /bin/python
2026-01-05 21:25:11.219 [info] Resolved Python Environment /bin/python
2026-01-05 21:31:35.566 [info] Resolved Python Environment /bin/python
2026-01-05 21:34:09.827 [info] Resolved Python Environment /bin/python
2026-01-05 21:35:17.469 [info] Resolved Python Environment /bin/python
2026-01-05 21:36:06.570 [info] Resolved Python Environment /bin/python
2026-01-05 21:38:59.762 [info] Resolved Python Environment /bin/python
2026-01-05 23:14:28.451 [info] Resolved Python Environment /bin/python
2026-01-05 23:15:52.727 [info] Resolved Python Environment /bin/python
2026-01-05 23:16:25.432 [info] Resolved Python Environment /bin/python
2026-01-05 23:17:17.584 [info] Resolved Python Environment /bin/python
2026-01-05 23:25:05.287 [info] Resolved Python Environment /bin/python
2026-01-05 23:29:12.630 [info] Resolved Python Environment /bin/python
2026-01-05 23:30:43.658 [info] Resolved Python Environment /bin/python
2026-01-05 23:36:56.070 [info] Resolved Python Environment /bin/python
2026-01-05 23:40:19.103 [info] Resolved Python Environment /bin/python
2026-01-05 23:41:52.761 [info] Resolved Python Environment /bin/python
2026-01-05 23:43:23.521 [info] Resolved Python Environment /bin/python
